id,title,category,source,published_at,discovered_at,score,url,role,selected
efff43da2c0f,昇腾超节点闪耀WAIC 2026：架构、商用、生态的三重跨越,产业与资本,C114中国通信网_设备商,,2026-08-14T08:44:13.814235+00:00,95.0,https://www.c114.com.cn/news/126/a1314417.html,行业媒体,True
b4e9dcfb1f24,WAIC 2026 | 中兴通讯全栈智算生态论坛，重磅发布OEX超节点新品,光通信,C114中国通信网_设备商,,2026-08-14T08:44:13.814235+00:00,95.0,https://www.c114.com.cn/news/127/a1314380.html,行业媒体,True
f59871847f2b,华为携手中国电信亮相2026 WAIC，共筑电信级Agentic运维运营新范式,产业与资本,C114中国通信网_设备商,,2026-08-14T08:44:13.814235+00:00,95.0,https://www.c114.com.cn/news/126/a1314371.html,行业媒体,True
d0ed81cd2eb9,“与时代 共昇腾” 昇腾深入千行万业 以算力驱动智能未来,通信与算力,C114中国通信网_设备商,,2026-08-14T08:44:13.814235+00:00,95.0,https://www.c114.com.cn/news/126/a1314367.html,行业媒体,True
ab211c826bb4,WAIC 2026观察｜从镇馆之宝到全球首款，中兴通讯全栈AI再进阶,产业与资本,C114中国通信网_设备商,,2026-08-14T08:44:13.814235+00:00,95.0,https://www.c114.com.cn/news/127/a1314339.html,行业媒体,True
d061b0f524e6,中兴通讯星系列人形机器人及具身智能解决方案亮相 WAIC 2026,产业与资本,C114中国通信网_设备商,,2026-08-14T08:44:13.814235+00:00,95.0,https://www.c114.com.cn/news/127/a1314330.html,行业媒体,True
76ca3c2763c6,中兴通讯发布新支点AIOS：构筑智能体时代操作系统，驱动产业智能化新引擎,产业与资本,C114中国通信网_设备商,,2026-08-14T08:44:13.814235+00:00,95.0,https://www.c114.com.cn/news/127/a1314305.html,行业媒体,True
3d9dfb3bcf28,中兴通讯亮相 2026 AI for Good 全球峰会 以坚实基础设施筑基，以开放生态致远,产业与资本,C114中国通信网_设备商,,2026-08-14T08:44:13.814235+00:00,95.0,https://www.c114.com.cn/news/127/a1314302.html,行业媒体,True
92f4adcf2b14,华为计算模组首次亮相WAIC 2026世界人工智能大会,产业与资本,C114中国通信网_设备商,,2026-08-14T08:44:13.814235+00:00,95.0,https://www.c114.com.cn/news/126/a1314293.html,行业媒体,True
9efeb70d9e5f,中兴通讯携手中国移动及央企伙伴共筑“焕新社区”2.0版，赋能AI新质生产力发展,通信与算力,C114中国通信网_设备商,,2026-08-14T08:44:13.814235+00:00,95.0,https://www.c114.com.cn/news/127/a1314225.html,行业媒体,True
b82c1bf88c90,中兴OEX超节点发布：超节点先锋，打造TCO最优的AI工厂,产业与资本,C114中国通信网_设备商,,2026-08-14T08:44:13.814235+00:00,95.0,https://www.c114.com.cn/news/127/a1314208.html,行业媒体,True
4b461628c591,中兴通讯深度参与中国电信2026 WAIC原生云网运营开发者大会，共绘智能时代新蓝图,产业与资本,C114中国通信网_设备商,,2026-08-14T08:44:13.814235+00:00,95.0,https://www.c114.com.cn/news/127/a1314200.html,行业媒体,True
1293d7e93990,8万的车也有激光雷达？30万才有的配置现在白菜价了,激光,OFweek 激光频道,2026-08,2026-08-14T08:44:13.814235+00:00,90.0,https://laser.ofweek.com/2026-08/ART-240001-12003-30698178.html,行业媒体,True
390bc62ab0b4,2026年上半年激光雷达331万台上车，华为896线成新门槛,激光,OFweek 激光频道,2026-08,2026-08-14T08:44:13.814235+00:00,90.0,https://laser.ofweek.com/2026-08/ART-240001-8420-30698177.html,行业媒体,True
ffe34b01a1ac,Ising-machine-like Driving Condition Restrictions in SSBM and Additional Pseudo-annealing- Driving Method for SSBM that Achieves Best Cut Value Search -,科研进展,arXiv 光学与光子学 (physics.optics),2026-08-14T04:00:00+00:00,2026-08-14T08:44:13.814235+00:00,89.8,https://arxiv.org/abs/2608.12545,科研,True
3469e421c1ac,Maximum brightness theorem for waves,科研进展,arXiv 光学与光子学 (physics.optics),2026-08-14T04:00:00+00:00,2026-08-14T08:44:13.814235+00:00,89.8,https://arxiv.org/abs/2608.12578,科研,True
c6c8814e3bd6,Asymmetric Textured Image Sensors Based on Antenna Theory as Designed by Nature,科研进展,arXiv 光学与光子学 (physics.optics),2026-08-14T04:00:00+00:00,2026-08-14T08:44:13.814235+00:00,89.8,https://arxiv.org/abs/2608.12729,科研,True
f1a78ad4955f,Inverse-Designed Lithium Niobate Wavelength Demultiplexer via Birefringent Effective Index Approximation,科研进展,arXiv 光学与光子学 (physics.optics),2026-08-14T04:00:00+00:00,2026-08-14T08:44:13.814235+00:00,89.8,https://arxiv.org/abs/2608.12902,科研,True
5b1cbf77b981,Bioinspired Microactuators Fabricated via One-step Meniscus-guided 3D Nanoprinting,科研进展,arXiv 光学与光子学 (physics.optics),2026-08-14T04:00:00+00:00,2026-08-14T08:44:13.814235+00:00,89.8,https://arxiv.org/abs/2608.12908,科研,True
