source,title,category,url,published_at,discovered_at,project_no,budget,deadline
工信部要闻,工业和信息化部召开部分省份工业经济运行座谈会,其他,http://www.miit.gov.cn/xwfb/bldhd/art/2026/art_ab5c2644b3134b74b1d1267af2198bc4.html,,2026-09-15T09:18:46.554469+00:00,,,
工信部要闻,两部门关于印发《电子信息制造业发展“十五五”规划》的通知,其他,http://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_f4864217588b44c489d58da20de766c8.html,,2026-09-15T09:18:46.554469+00:00,工信部联规〔2026〕216号,,
工信部要闻,工业和信息化部等九部门关于印发《智能网联新能源汽车产业发展“十五五”规划》的通知,产业与资本,http://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_47e6f99ffbe945279ef3ffd23c5b3631.html,,2026-09-15T09:18:46.554469+00:00,工信部联规函〔2026〕305号,,
工信部要闻,工业和信息化部关于印发《信息通信行业发展“十五五”规划》的通知,通信与算力,http://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_456511e63be14508aa5b0d113af559fe.html,,2026-09-15T09:18:46.554469+00:00,工信部规〔2026〕188号,,
工信部要闻,工业和信息化部等六部门关于印发《关于推动历史经典产业高质量发展的意见》的通知,产业与资本,http://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_6d9ac16698c0431eb4e202a53143bc9f.html,,2026-09-15T09:18:46.554469+00:00,工信部联消费〔2026〕204号,,
工信部要闻,工业和信息化部等十部门关于印发《促进中小企业发展“十五五”规划》的通知,其他,http://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_80ce437ddf6b42c2915d30bc8876dde2.html,,2026-09-15T09:18:46.554469+00:00,工信部联规函〔2026〕290号,,
工信部要闻,两部门关于印发《安全应急装备产业发展“十五五”规划》的通知,产业与资本,http://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_74a880b75f664878b9d5cb62412c014d.html,,2026-09-15T09:18:46.554469+00:00,工信部联规〔2026〕186号,,
工信部要闻,工业和信息化部举行新闻发布会 介绍智能网联新能源汽车产业高质量发展情况,产业与资本,https://www.miit.gov.cn/xwfb/xwfbh/bxwfbh/art/2026/art_05c4683ad9ee4c3c880485f7a8873601.html,,2026-09-15T09:18:46.554469+00:00,,,
工信部要闻,工业和信息化部介绍全力抓好“十五五”规划实施、加快推进新型工业化有关情况,其他,http://www.miit.gov.cn/xwfb/bldhd/art/2026/art_934ddb14d33e4cd5b787d88a15c5c0eb.html,,2026-09-15T09:18:46.554469+00:00,,,
工信部要闻,持续向新向优发展！国新办就2026年上半年工业和信息化发展情况举行新闻发布会,产业与资本,http://www.miit.gov.cn/xwfb/bldhd/art/2026/art_bc4cf76777cb4fd2896082ca2ff7039d.html,,2026-09-15T09:18:46.554469+00:00,,,
工信部要闻,湖南通信管理局召开树立和践行正确政绩观学习教育总结会,通信与算力,https://www.miit.gov.cn/xwfb/gxdt/dfdt/art/2026/art_be76a684326a4b5f99d688abc2ea4dd7.html,,2026-09-15T09:18:46.554469+00:00,,,
工信部要闻,河南通信管理局召开会议 总结树立和践行正确政绩观学习教育 部署巩固拓展学习教育成果工作,通信与算力,https://www.miit.gov.cn/xwfb/gxdt/dfdt/art/2026/art_dce1ec211149481998b315c406fa0364.html,,2026-09-15T09:18:46.554469+00:00,,,
